"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"184","2023-07-03","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.8,26,30.4,37.3,9.4,9.4,13.3,8.26,129.05,185.354,120.054,36.5,198,138
"185","2023-07-04","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.9,26.9,34.2,39.9,1.2,1.2,20.2,19.51,65.667,94.783,82.738,43.292,206,145
"186","2023-07-05","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.2,25,30.5,35.4,0.6,0.6,16.7,18.12,59.575,85.087,112.442,31.667,159,94
"187","2023-07-06","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.1,24.5,33.5,39.7,5.4,5.4,15.5,18.01,84.379,120.817,81.95,69.375,171,108
"188","2023-07-07","Shanghai","Shanghai","Municipality",31.2304,121.4737,30.6,27.2,35,40.3,3.2,3.2,17.7,17.15,57.646,83.542,91.704,37.25,171,108
"189","2023-07-08","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.6,26.3,28.6,35.5,35.1,35.1,15,4.22,88.95,128.008,103.863,15.417,172,109
"190","2023-07-09","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.2,25,31.3,38.2,16.8,16.8,21.9,12.19,99.646,143.342,103.271,12.875,198,139
"191","2023-07-10","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.7,25.5,32.7,40.2,1.2,1.2,16.8,19.94,114.588,164.746,80.096,50.708,193,133
"192","2023-07-11","Shanghai","Shanghai","Municipality",31.2304,121.4737,30.7,26.8,36.2,43.6,0,0,15.7,24.98,73.3,106.708,59.712,99.208,192,132
"193","2023-07-12","Shanghai","Shanghai","Municipality",31.2304,121.4737,31.6,27.2,36.9,43.2,0,0,15.3,24.99,72.892,105.463,67.908,90.792,164,100
"194","2023-07-13","Shanghai","Shanghai","Municipality",31.2304,121.4737,31,27.6,35.9,41.9,0,0,16.4,16.34,69.379,101.342,72.287,58.75,162,98
"195","2023-07-14","Shanghai","Shanghai","Municipality",31.2304,121.4737,31.2,27.8,35.6,41.4,0.1,0.1,17.9,22.9,69.171,101.458,72.262,76.833,161,97
"196","2023-07-15","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.6,26.5,33.8,41.4,2.7,2.7,14,21.89,64.092,93.017,72.188,54.792,160,95
"197","2023-07-16","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.9,25.4,31.9,38.5,18.2,18.2,16.8,16.37,24.433,37.3,35.779,27.625,156,92
"198","2023-07-17","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.3,25.3,30.3,35.2,15.5,15.5,20.6,19.7,14.117,22.55,26.583,24.958,79,58
"199","2023-07-18","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.9,24.5,31.9,38.8,2,2,13.1,22.89,27.117,40.529,39.817,13.417,87,63
"200","2023-07-19","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.2,25.5,30.4,36.4,3.3,3.3,13.7,14.88,23.487,35.954,40.546,15.958,84,62
"201","2023-07-20","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.5,25,29.4,35.4,46.3,46.3,13.3,9.91,67.788,98.992,65.517,38.625,157,92
"202","2023-07-21","Shanghai","Shanghai","Municipality",31.2304,121.4737,28,24.9,31.8,38,11.8,11.8,13,16.62,80.608,115.729,84.683,75,177,115
"203","2023-07-22","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.8,26.2,31,36.7,15.8,15.8,19.3,9.81,53.579,77.033,60.258,58.125,168,104
