"","X","sale_id","pinx","sale_date","sale_price","sale_nbr","sale_warning","join_status","join_year","latitude","longitude","area","city","zoning","subdivision","present_use","land_val","imp_val","year_built","year_reno","sqft_lot","sqft","sqft_1","sqft_fbsmt","grade","fbsmt_grade","condition","stories","beds","bath_full","bath_3qtr","bath_half","garb_sqft","gara_sqft","wfnt","golf","greenbelt","noise_traffic","view_rainier","view_olympics","view_cascades","view_territorial","view_skyline","view_sound","view_lakewash","view_lakesamm","view_otherwater","view_other","submarket"
"20964",543522,"2022..32860","..6699500075",2022-11-09,1715000,2,"   ","new",2022,47.6405154566005,-122.322001317621,13,"SEATTLE","NR3","PEAVEYS 1ST ADD",2,486000,1228000,2022,0,3175,2850,1110,620,9,9,3,2,4,2,1,1,450,0,0,0,0,3,0,2,0,2,2,0,0,0,2,0,"D"
"20965",543523,"2022..32863","..0808300470",2022-11-03,920000,4,"   ","new",2022,47.7243349390739,-121.957182289899,70,"DUVALL","R4","BIG ROCK RIDGE",2,197000,722000,2002,0,5751,2495,1300,0,7,0,3,2,4,2,0,1,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"20966",543524,"2022..32867","..2329880040",2022-11-11,709995,2,"   ","new",2022,47.348340247528,-122.290203810151,26,"KING COUNTY","R4","EMERALD GREENS",2,213000,255000,2022,0,4005,2600,1140,0,8,0,3,2,5,2,1,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I"
"20967",543525,"2022..32883","..7882600337",2022-10-31,4300000,3,"   ","new",2022,47.6620886200993,-122.198244474532,74,"KIRKLAND","RS 8.5","SOUTH KIRKLAND ACREAGE TRS",2,1192000,2050000,2015,0,8081,3710,2170,0,9,0,3,2,4,2,1,1,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Q"
"20968",543526,"2022..32887","..8682281000",2022-11-10,930000,3,"   ","new",2022,47.7057704665067,-122.011646530571,95,"KING COUNTY","R6","TRILOGY AT REDMOND RIDGE DIV 08",29,385000,615000,2005,0,3958,1900,1310,0,8,0,3,2,2,2,0,1,0,475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"P"
"20969",543527,"2022..32891","..0567000578",2022-11-07,850000,3,"   ","new",2022,47.59475942963,-122.294995424807,15,"SEATTLE","LR2 (M)","BAXTERS ADD",29,267000,487000,2005,0,1500,1725,575,0,8,0,3,3,3,2,0,1,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20970",543528,"2022..32892","..9828702306",2022-11-03,1125000,3,"   ","new",2022,47.6193546418595,-122.298827680479,15,"SEATTLE","LR2 (M)","YESLERS H L 2ND ADD SUPL",29,288000,660000,2019,0,1099,1820,700,0,9,0,3,3,3,2,1,1,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20971",543529,"2022..32895","..9558020960",2022-10-28,745000,4,"   ","new",2022,47.4493534971612,-122.119983598188,60,"KING COUNTY","R6PSO","WOODSIDE AT MCGARVEY PARK DIV 3",2,266000,415000,2003,0,2943,1620,820,0,8,0,3,2,3,2,0,1,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20972",543530,"2022..32899","..9246000640",2022-11-02,840000,3,"   ","new",2022,47.4315219264468,-122.102754114315,60,"KING COUNTY","R4","WEMBLEY PARK I",2,266000,630000,2015,0,6395,2670,1080,0,8,0,3,2,5,2,1,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20973",543531,"2022..32909","..1245002017",2022-11-14,3373990,1,"   ","new",2022,47.6868103253012,-122.200536738134,74,"KIRKLAND","RS 7.2","BURKE-FARRARS KIRKLAND DIV NO. 27",2,900000,1176000,2022,0,10585,4440,2080,0,9,0,3,2,5,3,1,1,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Q"
"20974",543532,"2022..32920","..0301402370",2022-11-09,515000,3,"   ","new",2022,47.3451516403641,-122.21362102381,27,"AUBURN","PUD","AUBURN 40 PUD",2,118000,410000,2012,0,3200,1584,620,0,7,0,3,2,3,2,0,1,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I"
